#rxn ID	rxn (extended name)	rxn codes (Rhea ID/EC number)	UniProt IDs (other organisms)	top hit (target organism)	other hits (target organism)
ATPM	ATP maintenance requirement	RHEA:20621, RHEA:13068, RHEA:13065, RHEA:15181, RHEA:20852, RHEA:14733, RHEA:13067, RHEA:13066, RHEA:14673, EC:7.2.2.15, EC:7.6.2.4, EC:3.6.4.6, EC:7.4.2.1, EC:7.2.2.12, EC:7.1.2.1	Q9MYU4, P49961, P97687, Q3TCT4	('Q6C3N3', 0.815)	('Q6CBK6', 0.688), ('Q6CBD9', 0.659), ('Q6CI77', 0.644)
ATPM	ATP maintenance requirement	RHEA:20621, RHEA:13068, RHEA:13065, RHEA:15181, RHEA:20852, RHEA:14733, RHEA:13067, RHEA:13066, RHEA:14673, EC:7.2.2.15, EC:7.6.2.4, EC:3.6.4.6, EC:7.4.2.1, EC:7.2.2.12, EC:7.1.2.1	P17119, P56536, P20480	('Q6CH93', 0.885)	('Q6C348', 0.841), ('Q6C9W8', 0.824), ('Q6C082', 0.823), ('Q6C6P8', 0.792)
ATPM	ATP maintenance requirement	RHEA:20621, RHEA:13068, RHEA:13065, RHEA:15181, RHEA:20852, RHEA:14733, RHEA:13067, RHEA:13066, RHEA:14673, EC:7.2.2.15, EC:7.6.2.4, EC:3.6.4.6, EC:7.4.2.1, EC:7.2.2.12, EC:7.1.2.1	Q96P20, Q8R4B8	('Q6CEX2', 0.572)	
SERATi	serine O acetyltransferase irreversible	RHEA:24562, RHEA:24561, RHEA:24563, RHEA:24560, EC:2.3.1.30	P67766, Q5HIE6, Q10S58, Q8W0E4, Q10QH1, P0A9D4, P0A9D7, P23145, P67764, Q06750, Q6GJE0, Q42538, P57162, Q9US33, Q8S895, P71405, Q8CTU2, P29847, P74089, Q89B11, Q5HRM4, Q59967, P77985, Q0DUI1, P95231, Q56002, Q9ZK14, P0A9D6, P43886, P67765, Q8W2B8, Q0DGG8, Q39218, P32003, P0A9D5, Q6GBV9		
SERATi	serine O acetyltransferase irreversible	RHEA:24562, RHEA:24561, RHEA:24563, RHEA:24560, EC:2.3.1.30	A0A120HUS7, A0A1D3PCK2	('Q6C4Z2', 0.689)	('Q6C9H7', 0.611), ('Q6CEF3', 0.586), ('Q6CFN6', 0.582), ('Q6C9Y4', 0.569), ('Q6CHS7', 0.562), ('Q6C568', 0.529)
CITt2r	citrate reversible transport via symport	RHEA:32126, RHEA:32123, RHEA:32125, RHEA:32124	G3YD89, G3YC86, G3YFS7		
CRNCARtp	carnitine acetylcarnitine carrier peroxisomal	RHEA:49909, RHEA:49908, RHEA:49911, RHEA:49910	O43772, P97521	('Q6CDA3', 0.874)	('Q6C7R0', 0.863), ('Q6CAH9', 0.86), ('Q6C5J8', 0.851), ('Q6CGA0', 0.849), ('Q6C737', 0.802), ('Q6C0B0', 0.794), ('Q6C780', 0.781), ('Q6CDS3', 0.776), ('Q6C6B6', 0.763), ('Q6C3A2', 0.76), ('Q6C5N9', 0.753), ('Q6CCV8', 0.749), ('Q6CBY2', 0.748), ('Q6CFV5', 0.745), ('Q6C107', 0.744), ('Q6C2S7', 0.734), ('F2Z695', 0.734), ('F2Z5Z3', 0.728), ('F2Z694', 0.727), ('Q6CGR6', 0.722), ('Q6C1K5', 0.72), ('Q6CGA2', 0.717), ('Q6C1K1', 0.716), ('Q6C3E4', 0.716), ('Q6CBG0', 0.716), ('Q6C6I3', 0.715), ('Q6C3I0', 0.71), ('Q6CA10', 0.693), ('Q6C165', 0.688), ('Q6C1Q9', 0.679), ('Q6C4B3', 0.678), ('Q6CCX5', 0.669), ('Q6CF30', 0.667), ('Q6C3N8', 0.646), ('Q6C6R5', 0.632), ('Q6C0X5', 0.626)
CRNtp	carnitine transport into peroxsiome	RHEA:34961, RHEA:34959, RHEA:34960, RHEA:34962	Q7RTY1, Q86VW1, Q8IZD6, O08966	('Q6CDU0', 0.727)	('Q6C2L7', 0.699), ('Q6CG30', 0.683), ('Q6CC59', 0.678), ('Q6C6Y3', 0.673), ('Q6CB29', 0.668), ('Q6C1G6', 0.667), ('Q6CDG0', 0.666), ('Q6C576', 0.663), ('Q6CBU1', 0.66), ('Q6C025', 0.66), ('Q6CCK8', 0.659), ('Q6C2Q4', 0.659), ('Q6CE30', 0.656), ('Q6CI42', 0.654), ('Q6C8K6', 0.653), ('Q6C137', 0.653), ('Q6CCU2', 0.652), ('Q6C1A0', 0.652), ('Q6CI95', 0.65), ('Q6CAS4', 0.65), ('Q6C9D4', 0.649), ('Q6CCJ1', 0.649), ('Q6C0K5', 0.648), ('Q6CBN8', 0.647), ('Q6C1C6', 0.644), ('Q6CH11', 0.644), ('Q6CCU6', 0.643), ('Q6CB72', 0.641), ('Q6C4W0', 0.641), ('Q6CEH9', 0.639), ('Q6C3Q6', 0.639), ('Q6CCM3', 0.639), ('Q6CFJ6', 0.639), ('Q6CA52', 0.639), ('Q6C8F4', 0.638), ('Q6C0E0', 0.637), ('Q6C3H0', 0.636), ('Q6CCR5', 0.636), ('F2Z6D9', 0.636), ('Q6CC13', 0.636), ('Q6CEE0', 0.635), ('Q6C8N0', 0.634), ('Q6C9M0', 0.634), ('Q6CAS2', 0.634), ('W0TYN6', 0.633), ('Q6CGW3', 0.633), ('Q6C0J9', 0.632), ('Q6C745', 0.631), ('Q6C0W8', 0.629), ('Q6CDV0', 0.629), ('Q6CGV6', 0.625), ('Q6CBB3', 0.624), ('Q6C0D7', 0.623), ('Q6C300', 0.623), ('Q6CG07', 0.623), ('Q6C7W7', 0.623), ('Q6C152', 0.622), ('Q6CGP0', 0.62), ('Q6C4F3', 0.619), ('Q6CAT5', 0.619), ('Q6C581', 0.618), ('Q6C2L4', 0.616), ('Q6C031', 0.615), ('Q6C878', 0.614), ('Q6C2K7', 0.614), ('Q6C574', 0.614), ('Q6CB18', 0.614), ('Q6CCF5', 0.613), ('Q6CDG9', 0.611), ('Q6C2G6', 0.61), ('Q6C952', 0.608), ('Q6CCP4', 0.607), ('Q6CCQ9', 0.606), ('Q6CG69', 0.604), ('Q6CEA9', 0.601), ('Q6C6D0', 0.6), ('Q6CDU4', 0.599), ('Q6CHZ5', 0.599), ('Q6CE31', 0.598), ('Q6C8F6', 0.594), ('Q6C7X3', 0.594), ('Q6CBM5', 0.594), ('Q6C3G0', 0.591), ('Q6C1S6', 0.59), ('Q6C0H0', 0.589), ('Q6CGX6', 0.589), ('Q6CD19', 0.589), ('Q6CD90', 0.589), ('Q6CI79', 0.586), ('Q6C0D8', 0.584), ('F2Z653', 0.584), ('Q6CD11', 0.58), ('Q6CGU8', 0.579), ('Q6C2L1', 0.578), ('Q6CD18', 0.578), ('Q6CBM4', 0.577), ('Q6CBM9', 0.574), ('Q6CI92', 0.574), ('Q6CGJ0', 0.574), ('Q6CDF9', 0.573), ('Q6CE82', 0.572), ('Q6CBQ5', 0.572), ('Q6CB15', 0.57), ('Q6CBN6', 0.568), ('Q6CE14', 0.566), ('Q6C9U1', 0.565), ('Q6CCC4', 0.562), ('Q6CH77', 0.561), ('Q6CAP1', 0.559), ('Q6C539', 0.557), ('Q6CHB2', 0.546), ('Q6CHM0', 0.541), ('Q6CE20', 0.541), ('Q6CCV9', 0.54), ('Q6C4M8', 0.537), ('Q6C039', 0.532), ('Q6C9N1', 0.53), ('Q6C448', 0.529), ('Q6C335', 0.52)
CRNtp	carnitine transport into peroxsiome	RHEA:34961, RHEA:34959, RHEA:34960, RHEA:34962	O43772, P97521	('Q6CDA3', 0.874)	('Q6C7R0', 0.863), ('Q6CAH9', 0.86), ('Q6C5J8', 0.851), ('Q6CGA0', 0.849), ('Q6C737', 0.802), ('Q6C0B0', 0.794), ('Q6C780', 0.781), ('Q6CDS3', 0.776), ('Q6C6B6', 0.763), ('Q6C3A2', 0.76), ('Q6C5N9', 0.753), ('Q6CCV8', 0.749), ('Q6CBY2', 0.748), ('Q6CFV5', 0.745), ('Q6C107', 0.744), ('Q6C2S7', 0.734), ('F2Z695', 0.734), ('F2Z5Z3', 0.728), ('F2Z694', 0.727), ('Q6CGR6', 0.722), ('Q6C1K5', 0.72), ('Q6CGA2', 0.717), ('Q6C1K1', 0.716), ('Q6C3E4', 0.716), ('Q6CBG0', 0.716), ('Q6C6I3', 0.715), ('Q6C3I0', 0.71), ('Q6CA10', 0.693), ('Q6C165', 0.688), ('Q6C1Q9', 0.679), ('Q6C4B3', 0.678), ('Q6CCX5', 0.669), ('Q6CF30', 0.667), ('Q6C3N8', 0.646), ('Q6C6R5', 0.632), ('Q6C0X5', 0.626)
CSNAT	carnitine O acetyltransferase	RHEA:21136, RHEA:21137, RHEA:21139, RHEA:21138, EC:2.3.1.7	P32796, Q00614, P43155, P80235	('Q6CF46', 0.907)	('Q6C0W4', 0.857)
CYTDt2	cytidine transport in via proton symport	RHEA:29985, RHEA:29983, RHEA:29986, RHEA:29984	P0AFF4, P0AFF2		
CYTK1	cytidylate kinase CMP	RHEA:11602, RHEA:11600, RHEA:11601, RHEA:11603, EC:2.7.4.14	Q9UX81, O51759, Q20230, P38493, P0A6I2, O28379, O26138, O58988, Q5EBM0, Q9UZJ6, Q8PV21, Q8SS83, Q58071, O17622, Q9YDD5, Q3U5Q7, B7XIW9, O04905, O83362, O59845, C4V9G9, Q9HIT3, P9WPA9, P0A6I0, P0A6I1, O05982, P15700, P20425		
CYTK2	cytidylate kinase dCMP	RHEA:25096, RHEA:25094, RHEA:25097, RHEA:25095, EC:2.7.4.14	Q9UX81, O51759, Q20230, P38493, P0A6I2, O28379, O26138, O58988, Q5EBM0, Q9UZJ6, Q8PV21, Q8SS83, Q58071, O17622, Q9YDD5, Q3U5Q7, B7XIW9, O04905, O83362, O59845, C4V9G9, Q9HIT3, P9WPA9, P0A6I0, P0A6I1, O05982, P15700, P20425		
DB4PS	3 4 Dihydroxy 2 butanone 4 phosphate synthase	RHEA:18457, EC:4.1.99.12	Q7M936, Q9JU97, Q5A3V6, P47924, P0A7J0, P51962, Q9ZL40, Q8TG90, Q9HWX4, O60181, Q882G0, Q9JZ77, Q9PHU4, Q7VJN5, Q02008, Q6NLQ7, Q0E079, Q60364, O68249, Q6Z234, P74104, O25484	('Q6CF99', 0.968)	
DBTSr	dethiobiotin synthase	RHEA:15805, RHEA:15807, RHEA:15808, RHEA:15806, EC:6.3.3.3	P13000, B0F481, Q6ZKV8	('Q6C529', 0.81)	
DCYTt2	deoxycytidine transport in via proton symport	RHEA:29977, RHEA:29975, RHEA:29976, RHEA:29978	P0AFF4, P0AFF2		
DIAT	diamine transaminase	RHEA:33101, RHEA:33099, RHEA:33102, RHEA:33100, EC:2.3.1.57	P39909, P0A951, Q9HL57, P21340, Q9KL03, Q5CPU3, Q92831, P21673, P48026	('Q6CHB3', 0.702)	('Q6CG60', 0.674), ('Q6CC85', 0.631), ('Q6BZQ1', 0.629), ('Q6CFM0', 0.617), ('Q8WZM0', 0.581)
DNTPPA	Dihydroneopterin triphosphate pyrophosphatase	RHEA:25302, RHEA:25305, RHEA:25303, RHEA:25304, EC:3.6.1.67	P0AFC0, Q9CA40	('Q6C2F8', 0.661)	('Q6C651', 0.631), ('Q6C2Y8', 0.604), ('Q6CAP6', 0.591), ('Q6CC24', 0.58), ('Q6CHV1', 0.556), ('Q6C0B7', 0.52)
DPCOAK	dephospho CoA kinase	RHEA:18245, RHEA:18246, RHEA:18248, RHEA:18247, EC:2.7.1.24	Q13057, P9WPA3, Q9DBL7, Q9ZQH0, Q56416, Q8MIR4, Q03941, Q94DR2, P0A6I9	('Q6C296', 0.85)	
DPCOAKm	dephospho CoA kinase mitochondrial	RHEA:18245, RHEA:18246, RHEA:18248, RHEA:18247, EC:2.7.1.24	Q13057, P9WPA3, Q9DBL7, Q9ZQH0, Q56416, Q8MIR4, Q03941, Q94DR2, P0A6I9	('Q6C296', 0.85)	
DURIK1	deoxyuridine kinase ATPDeoxyuridine	RHEA:28207, RHEA:28206, RHEA:28209, RHEA:28208	Q9R088		
FA160tp	fatty acid peroxisomal transport	RHEA:45256, RHEA:45258, RHEA:45259, RHEA:45257	Q9Y2P4, Q6PCB7, Q60714, Q6P1M0, P97849	('Q6C5Q8', 0.786)	('Q6CH10', 0.704), ('Q6CGX7', 0.699), ('Q6CCW9', 0.699), ('Q6C634', 0.686), ('Q6C2M7', 0.675), ('Q6C2Q5', 0.672), ('Q6C650', 0.667), ('Q6CCH6', 0.667), ('Q6C6V4', 0.665), ('Q6C577', 0.659), ('Q6C8S6', 0.644), ('Q6C670', 0.641), ('Q6CFE4', 0.629), ('Q6CFN2', 0.623), ('Q6C8Q3', 0.607), ('Q6CCC2', 0.532)
FKYNH	N Formyl L kynurenine amidohydrolase	RHEA:13011, RHEA:13009, RHEA:13010, RHEA:13012, EC:3.5.1.9	P0C8P4, Q9I234, B4E9I9, Q81PP9, Q81CK1		
FMNATm	FMN adenylyltransferase	RHEA:17240, RHEA:17239, RHEA:17238, RHEA:17237, EC:2.7.7.2	Q5RCH4, Q22017, Q8R123, Q8NFF5, P38913, O74841, Q68EH8, Q6ING7, Q626I0	('Q6C7T3', 0.889)	
FMNATm	FMN adenylyltransferase	RHEA:17240, RHEA:17239, RHEA:17238, RHEA:17237, EC:2.7.7.2	Q8Y914, Q8VZR0, Q58579, Q8Y7F2, Q9FMW8, Q59263, A4IT50, Q7NBZ0, Q10BX9		
FORtm	formate mitochondrial transport	RHEA:29680, RHEA:29681, RHEA:29679, RHEA:29682	P0AC23, P0AC25, P77733	('Q6C632', 0.805)	
FRUK	fructose 1 phosphate kinase	RHEA:14213, RHEA:14215, RHEA:14214, RHEA:14216, EC:2.7.1.56	P0AEW9, D4GYE6, P23354	('Q6CEK6', 0.757)	('Q6C0M3', 0.693), ('Q6C9F2', 0.685), ('Q6C666', 0.634), ('Q6C731', 0.518)
FTHFCLm	5 formethyltetrahydrofolate cyclo ligase mitochondrial	RHEA:10489, RHEA:10491, RHEA:10488, RHEA:10490, EC:6.3.3.2	P44905, Q9XWE6, A0R3H2, P47487, P49914, P80405, P0AC28, P0AC29, Q8L539, P75430, Q9D110, Q9P7W2, P40099	('Q6CAN2', 0.842)	
FTHFCLm	5 formethyltetrahydrofolate cyclo ligase mitochondrial	RHEA:10489, RHEA:10491, RHEA:10488, RHEA:10490, EC:6.3.3.2	Q9HI69, Q6KZM5, Q99XR4		
FUMAC	fumarylacetoacetase	RHEA:10246, RHEA:10245, RHEA:10247, RHEA:10244, EC:3.7.1.2	P35505, Q00770, Q8RW90	('Q6CAZ6', 0.756)	('W0TYP4', 0.641)
G6PDH2er	glucose 6 phosphate dehydrogenase endoplasmic reticulum	RHEA:15841, RHEA:15842, RHEA:15843, RHEA:15844, EC:1.1.1.49	Q9FY99, Q5FUK8, O95479, Q00612, Q43727, P97324, Q8L743, Q8IKU0, P11411, P37830, Q43839, Q9LK23, O68282, P11413, Q9FJI5, Q8CFX1	('Q6C4Y7', 0.91)	
GLUN	glutaminase	RHEA:15892, RHEA:15891, RHEA:15889, RHEA:15890, EC:3.5.1.2	Q8IIK4, P61783, Q0P8U2, Q7MLS3, Q9S4H8, A1W0U9, Q84I54, O69043, P60595, P59118, P0A1R5, P07258, Q84I55, P57204, Q02132, P60596, P48262, Q9ZGM1, P0A7E5, P35851, Q9P4P9, O28019, P12041, Q9PM75, O27568, Q5UYV3, Q9RDX3, Q03144, Q4PJX5, Q9PBC8, Q55805, Q9X7C0, Q84I56, Q7SIC0, Q9SZ30, P72138, P59957, Q54J48, Q9KSX0, Q9A231, Q7V6M5, Q7MPP4, A0A0H2WZ38, P44340, O66943, P61782, A0A0H3JN63, Q8LAD0, Q9TLQ8, Q9K6Z4, Q7MPK8, P57921, O34565, P0A1R4, P9WMM1, Q9ZHE3, O33777, O33565, P0A6F1, P37528, P58237, Q7U924, P9WMM0, P16249, Q9HU42, P18785, Q9RX89, Q57929, O94303, Q9X0C8, Q9K0H2, Q7U899, Q7V959, Q9JVH3, P33734, P22572, Q8DNZ8		
GLUN	glutaminase	RHEA:15892, RHEA:15891, RHEA:15889, RHEA:15890, EC:3.5.1.2	Q89KV2, Q93650, Q8FMX4, Q89NA7, P13264, Q571F8, D3Z7P3, O31465, O87405, P0A6W0, Q8NMT3, P77454, O94925, Q19013, O07637	('Q6C384', 0.799)	('Q6C2X0', 0.779), ('Q6CF18', 0.583)
GLUN	glutaminase	RHEA:15892, RHEA:15891, RHEA:15889, RHEA:15890, EC:3.5.1.2	Q88K39, P10172, Q9I407, P10182, O68897		
GLYt2m	glycine mitochondrial transport via proton symport	RHEA:28901, RHEA:28900, RHEA:28899, RHEA:28902	Q8K4D3, Q7Z2H8, Q8BHK3, Q8K415, Q495M3	('Q6C4A9', 0.776)	('Q6C6C3', 0.769), ('Q6C9E5', 0.753), ('Q6BZX9', 0.74), ('Q6C4Z1', 0.71), ('Q6C2K5', 0.701), ('Q6C7J4', 0.701), ('Q6CC65', 0.683), ('Q6CDZ1', 0.582), ('Q6C0C9', 0.581), ('Q6CCF3', 0.571), ('Q6CGM1', 0.565), ('Q6C6Q5', 0.562), ('Q6CHL8', 0.56), ('Q6C6E2', 0.559), ('Q6CHZ3', 0.556), ('Q6CGG5', 0.554), ('Q6CAR8', 0.551), ('Q6C8X5', 0.535), ('Q6C9P9', 0.535), ('Q6C8H1', 0.531), ('Q6C563', 0.528)
GSNK	guanosine kinase	RHEA:27712, RHEA:27711, RHEA:27710, RHEA:27713, EC:2.7.1.73	O24767, Q9HJT3, Q57849, P0AEW6	('Q6CEK6', 0.781)	('Q6C0M3', 0.728), ('Q6C9F2', 0.697), ('Q6C666', 0.647)
H2Oter	H2O endoplasmic reticulum transport	RHEA:29668, RHEA:29670, RHEA:29669, RHEA:29667	P55087, O94778, P60844, P56405, P56404	('Q6C3A8', 0.734)	('Q6C6W7', 0.717), ('Q6C3E2', 0.701)
H2Otm	H2O transport mitochondrial	RHEA:29668, RHEA:29670, RHEA:29669, RHEA:29667	P55087, O94778, P60844, P56405, P56404	('Q6C3A8', 0.734)	('Q6C6W7', 0.717), ('Q6C3E2', 0.701)
H2Otp	H2O transport peroxisomal	RHEA:29668, RHEA:29670, RHEA:29669, RHEA:29667	P55087, O94778, P60844, P56405, P56404	('Q6C3A8', 0.734)	('Q6C6W7', 0.717), ('Q6C3E2', 0.701)
H2Otv	H2O transport vacuolar	RHEA:29668, RHEA:29670, RHEA:29669, RHEA:29667	P55087, O94778, P60844, P56405, P56404	('Q6C3A8', 0.734)	('Q6C6W7', 0.717), ('Q6C3E2', 0.701)
HCO3E	HCO3 equilibration reaction	RHEA:10750, RHEA:10749, RHEA:10748, RHEA:10751, EC:4.2.1.1	F4HUC4, B3A0Q6, Q10462, Q9ULX7, Q99N23, A0ZSF5, P43165, A0ZSF2, Q9FM99, P07451, F4IHR4, A0ZSF4, Q9D6N1, P94170, O04846, A7MAQ2, Q27504, O52538, P08060, P00915, P23280, P23589, F4JIK2, Q865C0, A0ZSF3, P84537, Q16790, P35218, Q92051, Q8L817, Q8N1Q1, Q50940, Q9Y2D0, P18761, O52535, Q84UV8, P20507, Q9NL38, P24258, A0ZSF6, Q27908, A0ZSF7, Q9QZA0, P43166, Q9FYE3, P18915, Q75N34, P22748, Q9ERQ8, P54212, Q6DAJ6, O43570, P00918, P83299, Q9SUB4		
HCO3E	HCO3 equilibration reaction	RHEA:10750, RHEA:10749, RHEA:10748, RHEA:10751, EC:4.2.1.1	P27141, A0R566, O34872, P9WPJ6, O94255, Q5AJ71, P46513, P61518, P9WPJ8, P0ABE9, Q9ZUC2, Q94CE3, O24855, O85042, P40880, P61517, Q5BCC5, P9WPJ7, P17067, Q7TTT8, Q94CE4, Q9ZN54, P45148, P46511, P9WPJ9, Q31HD6, P46510, P53615, Q7V6G1, Q9I262, P46512, P46281, Q54735, Q9C6F5, P16016, Q7V2C7, O06983, P42737	('Q6C0V4', 0.793)	
HCO3E	HCO3 equilibration reaction	RHEA:10750, RHEA:10749, RHEA:10748, RHEA:10751, EC:4.2.1.1	P40881, Q8YYI3, Q8DKB5		
HCO3Em	HCO3 equilibration reaction	RHEA:10750, RHEA:10749, RHEA:10748, RHEA:10751, EC:4.2.1.1	F4HUC4, B3A0Q6, Q10462, Q9ULX7, Q99N23, A0ZSF5, P43165, A0ZSF2, Q9FM99, P07451, F4IHR4, A0ZSF4, Q9D6N1, P94170, O04846, A7MAQ2, Q27504, O52538, P08060, P00915, P23280, P23589, F4JIK2, Q865C0, A0ZSF3, P84537, Q16790, P35218, Q92051, Q8L817, Q8N1Q1, Q50940, Q9Y2D0, P18761, O52535, Q84UV8, P20507, Q9NL38, P24258, A0ZSF6, Q27908, A0ZSF7, Q9QZA0, P43166, Q9FYE3, P18915, Q75N34, P22748, Q9ERQ8, P54212, Q6DAJ6, O43570, P00918, P83299, Q9SUB4		
HCO3Em	HCO3 equilibration reaction	RHEA:10750, RHEA:10749, RHEA:10748, RHEA:10751, EC:4.2.1.1	P27141, A0R566, O34872, P9WPJ6, O94255, Q5AJ71, P46513, P61518, P9WPJ8, P0ABE9, Q9ZUC2, Q94CE3, O24855, O85042, P40880, P61517, Q5BCC5, P9WPJ7, P17067, Q7TTT8, Q94CE4, Q9ZN54, P45148, P46511, P9WPJ9, Q31HD6, P46510, P53615, Q7V6G1, Q9I262, P46512, P46281, Q54735, Q9C6F5, P16016, Q7V2C7, O06983, P42737	('Q6C0V4', 0.793)	
HCO3Em	HCO3 equilibration reaction	RHEA:10750, RHEA:10749, RHEA:10748, RHEA:10751, EC:4.2.1.1	P40881, Q8YYI3, Q8DKB5		
HCO3En	HCO3 equilibrium reaction nuclear	RHEA:10750, RHEA:10749, RHEA:10748, RHEA:10751, EC:4.2.1.1	F4HUC4, B3A0Q6, Q10462, Q9ULX7, Q99N23, A0ZSF5, P43165, A0ZSF2, Q9FM99, P07451, F4IHR4, A0ZSF4, Q9D6N1, P94170, O04846, A7MAQ2, Q27504, O52538, P08060, P00915, P23280, P23589, F4JIK2, Q865C0, A0ZSF3, P84537, Q16790, P35218, Q92051, Q8L817, Q8N1Q1, Q50940, Q9Y2D0, P18761, O52535, Q84UV8, P20507, Q9NL38, P24258, A0ZSF6, Q27908, A0ZSF7, Q9QZA0, P43166, Q9FYE3, P18915, Q75N34, P22748, Q9ERQ8, P54212, Q6DAJ6, O43570, P00918, P83299, Q9SUB4		
HCO3En	HCO3 equilibrium reaction nuclear	RHEA:10750, RHEA:10749, RHEA:10748, RHEA:10751, EC:4.2.1.1	P27141, A0R566, O34872, P9WPJ6, O94255, Q5AJ71, P46513, P61518, P9WPJ8, P0ABE9, Q9ZUC2, Q94CE3, O24855, O85042, P40880, P61517, Q5BCC5, P9WPJ7, P17067, Q7TTT8, Q94CE4, Q9ZN54, P45148, P46511, P9WPJ9, Q31HD6, P46510, P53615, Q7V6G1, Q9I262, P46512, P46281, Q54735, Q9C6F5, P16016, Q7V2C7, O06983, P42737	('Q6C0V4', 0.793)	
HCO3En	HCO3 equilibrium reaction nuclear	RHEA:10750, RHEA:10749, RHEA:10748, RHEA:10751, EC:4.2.1.1	P40881, Q8YYI3, Q8DKB5		
HDCAt	Hexadecanoate n C160 transport in via uniport	RHEA:45256, RHEA:45258, RHEA:45259, RHEA:45257	Q9Y2P4, Q6PCB7, Q60714, Q6P1M0, P97849	('Q6C5Q8', 0.786)	('Q6CH10', 0.704), ('Q6CGX7', 0.699), ('Q6CCW9', 0.699), ('Q6C634', 0.686), ('Q6C2M7', 0.675), ('Q6C2Q5', 0.672), ('Q6C650', 0.667), ('Q6CCH6', 0.667), ('Q6C6V4', 0.665), ('Q6C577', 0.659), ('Q6C8S6', 0.644), ('Q6C670', 0.641), ('Q6CFE4', 0.629), ('Q6CFN2', 0.623), ('Q6C8Q3', 0.607), ('Q6CCC2', 0.532)
HGNTOR	Homogentisateoxygen 1 2 oxidoreductase decyclizing	RHEA:15451, RHEA:15449, RHEA:15450, RHEA:15452, EC:1.13.11.5	Q54QI4, Q5VRH4, Q9Y041, Q9VKJ0, Q93099, O09173, Q9ZRA2, Q00667, Q88E47		
HYPOE	hypothetical enyme	RHEA:25136, RHEA:25137, RHEA:25138, RHEA:25135, EC:3.1.3.74	P21829, P27848, Q8X8L6	('Q6C939', 0.584)	('Q6C985', 0.561), ('Q6C3Z3', 0.55)
HYPOE	hypothetical enyme	RHEA:25136, RHEA:25137, RHEA:25138, RHEA:25135, EC:3.1.3.74	P60487, Q96GD0	('Q6C484', 0.899)	('Q6CI71', 0.756), ('Q6C5I9', 0.704)
INSK	insosine kinase	RHEA:21142, RHEA:21141, RHEA:21143, RHEA:21140, EC:2.7.1.73	O24767, Q9HJT3, Q57849, P0AEW6	('Q6CEK6', 0.781)	('Q6C0M3', 0.728), ('Q6C9F2', 0.697), ('Q6C666', 0.647)
